Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
East Tilbury,,"126,474","88,522","70,662","285,658","1,050",0,London Fenchurch Street,ETL,East of England,c2c,,,,,,,,,
Shepperton,,"87,490","115,586","81,858","284,934","1,051",0,London Waterloo,SHP,South East,South Western Railway,,,,,,,,,
Chapeltown (South Yorkshire),,"147,374","81,748","54,054","283,176","1,052",0,Sheffield,CLN,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Southwick,,"84,874","149,634","48,484","282,992","1,053",0,Brighton,SWK,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Theale,,"100,438","131,992","50,550","282,980","1,054",0,London Paddington,THE,South East,Great Western Railway,,,,,,,,,
Heath High Level,,"220,976","13,162","47,172","281,310","1,055",0,Cardiff Queen Street,HHL,Wales,TfW Rail,,,,,,,,,
Prittlewell,,"105,704","100,060","75,514","281,278","1,056",0,London Liverpool Street,PRL,East of England,Greater Anglia,,,,,,,,,
Edenbridge Town,,"58,798","104,154","118,144","281,096","1,057","8,188",London Bridge,EBT,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Warrington West,,"84,082","183,030","13,218","280,330","1,058","3,933",Liverpool Lime Street,WAW,North West,Northern Trains,,,,,,,,,
Merthyr Tydfil,,"192,766","16,876","69,772","279,414","1,059",0,Cardiff Central,MER,Wales,TfW Rail,,,,,,,,,
Horsley,,"105,640","117,242","56,158","279,040","1,060",0,London Waterloo,HSY,South East,South Western Railway,,,,,,,,,
Wivenhoe,,"41,194","170,962","66,760","278,916","1,061","1,238",London Liverpool Street,WIV,East of England,Greater Anglia,,,,,,,,,
Sudbury (Suffolk),,"81,878","139,860","56,796","278,534","1,062",0,London Liverpool Street,SUY,East of England,Greater Anglia,,,,,,,,,
Garrowhill,,"79,590","157,358","41,438","278,386","1,063",0,Glasgow Queen Street,GAR,Scotland,ScotRail,,,,,,,,,
Gillingham (Dorset),,"41,408","206,578","29,948","277,934","1,064",0,London Waterloo,GIL,South West,South Western Railway,,,,,,,,,
Thetford,,"55,208","191,538","29,776","276,522","1,065",6,Norwich,TTF,East of England,Greater Anglia,,,,,,,,,
Chessington South,,"118,364","109,540","47,402","275,306","1,066",0,London Waterloo,CSS,London,South Western Railway,,,,,,,,,
Earlestown,,"81,264","158,292","35,398","274,954","1,067","51,348",Liverpool Lime Street,ERL,North West,Northern Trains,,,,,,,,,
Urmston,,"132,358","95,874","46,306","274,538","1,068",0,Manchester Oxford Road,URM,North West,Northern Trains,,,,,,,,,
Llanelli,,"158,754","74,376","40,606","273,736","1,069","3,560",Swansea,LLE,Wales,TfW Rail,,,,,,,,,
Earlswood (Surrey),,"101,828","115,926","55,460","273,214","1,070",0,London Bridge,ELD,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Addlestone,,"108,918","111,918","50,848","271,684","1,071",0,London Waterloo,ASN,South East,South Western Railway,,,,,,,,,
Bidston,,"95,472","114,516","60,886","270,874","1,072","76,964",Liverpool Central,BID,North West,Merseyrail,,,,,,,,,
North Sheen,,"114,650","109,184","45,904","269,738","1,073",0,London Waterloo,NSH,London,South Western Railway,,,,,,,,,
Darwen,,"63,958","165,068","40,120","269,146","1,074",0,Manchester Victoria,DWN,North West,Northern Trains,,,,,,,,,
Moreton-In-Marsh,,"41,694","219,116","8,262","269,072","1,075",0,London Paddington,MIM,South West,Great Western Railway,,,,,,,,,
Galashiels,,"102,944","156,504","9,272","268,720","1,076",0,Edinburgh,GAL,Scotland,ScotRail,,,,,,,,,
South Elmsall,,"123,116","105,036","40,286","268,438","1,077",0,Doncaster,SES,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Greenock West,,"82,192","138,946","47,134","268,272","1,078",0,Glasgow Central,GKW,Scotland,ScotRail,,,,,,,,,
Sandwich,,"42,670","104,684","120,878","268,232","1,079",0,Deal,SDW,South East,Southeastern,,,,,,,,,
St Margarets (Herts),,"113,348","115,024","39,616","267,988","1,080",0,London Liverpool Street,SMT,East of England,Greater Anglia,,,,,,,,,
Liss,,"39,304","105,738","122,724","267,766","1,081",0,Liphook,LIS,South East,South Western Railway,,,,,,,,,
Wolverton,,"68,924","131,998","65,656","266,578","1,082",0,London Euston,WOL,South East,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Hightown,,"65,884","161,742","38,946","266,572","1,083",0,Liverpool Central,HTO,North West,Merseyrail,,,,,,,,,
The Hawthorns,,"70,574","102,630","93,106","266,310","1,084",0,Birmingham Snow Hill,THW,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Harlington (Bedfordshire),,"69,752","149,854","46,602","266,208","1,085",0,London St Pancras International,HLN,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Hythe (Essex),,"62,678","168,226","34,766","265,670","1,086",0,London Liverpool Street,HYH,East of England,Greater Anglia,,,,,,,,,
Haydons Road,,"108,574","110,950","45,502","265,026","1,087",0,London Blackfriars,HYR,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Iver,,"85,398","124,568","54,974","264,940","1,088",0,London Paddington,IVR,South East,Elizabeth line,,,,,,,,,
Batley,,"118,146","103,610","43,132","264,888","1,089",0,Leeds,BTL,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Paisley Canal,,"77,664","123,456","63,600","264,720","1,090",0,Glasgow Central,PCN,Scotland,ScotRail,,,,,,,,,
Exeter St Thomas,,"52,534","118,890","92,972","264,396","1,091",0,Exmouth,EXT,South West,Great Western Railway,,,,,,,,,
Woldingham,,"89,464","74,406","100,488","264,358","1,092",0,London Victoria,WOH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Blake Street,,"72,170","92,716","99,366","264,252","1,093",0,Birmingham New Street,BKT,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Alexandra Parade,,"83,590","165,438","14,686","263,714","1,094",0,Glasgow Queen Street,AXP,Scotland,ScotRail,,,,,,,,,
Swinton (South Yorks),,"104,834","102,888","55,140","262,862","1,095","2,204",Sheffield,SWN,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Hanborough,,"86,046","132,768","43,684","262,498","1,096",0,London Paddington,HND,South East,Great Western Railway,,,,,,,,,
Hall Green,,"77,976","102,540","81,962","262,478","1,097",0,Birmingham Moor Street,HLG,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Bearsted,,"58,250","118,112","85,388","261,750","1,098",0,London Victoria,BSD,South East,Southeastern,,,,,,,,,
Bodmin Parkway,,"7,200","238,908","15,308","261,416","1,099",0,London Paddington,BOD,South West,Great Western Railway,,,,,,,,,
Goole,,"59,018","178,648","23,684","261,350","1,100","1,119",Doncaster,GOO,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Dyce,,"128,962","110,958","20,080","260,000","1,101",0,Aberdeen,DYC,Scotland,ScotRail,,,,,,,,,
Springburn,,"92,998","136,014","30,010","259,022","1,102","10,425",Glasgow Queen Street,SPR,Scotland,ScotRail,,,,,,,,,
Colwyn Bay,,"116,338","124,576","18,014","258,928","1,103",241,Rhyl,CWB,Wales,TfW Rail,,,,,,,,,
Swanscombe,,"94,906","95,006","68,808","258,720","1,104",0,London Bridge,SWM,South East,Southeastern,,,,,,,,,
Arundel,,"43,840","152,696","61,858","258,394","1,105",0,London Victoria,ARU,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Bramley (West Yorkshire),,"115,462","93,030","49,710","258,202","1,106",0,Leeds,BLE,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Cadoxton,,"201,510","9,542","47,112","258,164","1,107",0,Cardiff Central,CAD,Wales,TfW Rail,,,,,,,,,
Penryn (Cornwall),,"31,422","191,982","34,170","257,574","1,108",0,Truro,PYN,South West,Great Western Railway,,,,,,,,,
Ulverston,,"47,564","169,884","39,910","257,358","1,109",0,Barrow-In-Furness,ULV,North West,Northern Trains,,,,,,,,,
Charlbury,,"56,194","182,174","18,982","257,350","1,110",0,London Paddington,CBY,South East,Great Western Railway,,,,,,,,,
Congleton,,"45,164","200,310","10,418","255,892","1,111",0,Manchester Piccadilly,CNG,North West,Northern Trains,,,,,,,,,
Pollokshields East,,"77,774","158,454","19,600","255,828","1,112",0,Glasgow Central,PLE,Scotland,ScotRail,,,,,,,,,
Dalmarnock,,"73,588","158,668","23,282","255,538","1,113",0,Glasgow Central,DAK,Scotland,ScotRail,,,,,,,,,
Marlow,,"81,758","129,776","43,844","255,378","1,114",0,London Paddington,MLW,South East,Great Western Railway,,,,,,,,,
Carntyne,,"83,206","148,270","23,054","254,530","1,115",0,Glasgow Queen Street,CAY,Scotland,ScotRail,,,,,,,,,
Scunthorpe,,"52,744","188,054","12,388","253,186","1,116",755,Doncaster,SCU,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Wareham (Dorset),,"52,406","188,720","11,960","253,086","1,117",0,London Waterloo,WRM,South West,South Western Railway,,,,,,,,,
Malton,,"80,012","123,794","48,998","252,804","1,118",0,York,MLT,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Dumbarton East,,"77,300","139,754","35,534","252,588","1,119",0,Glasgow Queen Street,DBE,Scotland,ScotRail,,,,,,,,,
South Woodham Ferrers,,"96,334","69,118","85,146","250,598","1,120",0,London Liverpool Street,SOF,East of England,Greater Anglia,,,,,,,,,
Long Buckby,,"50,262","171,142","28,642","250,046","1,121",0,London Euston,LBK,East Midlands,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Kirkstall Forge,,"121,254","73,544","55,150","249,948","1,122",0,Leeds,KLF,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Saltburn,,"45,298","189,054","14,704","249,056","1,123",0,Middlesbrough,SLB,North East,Northern Trains,,,,,,,,,
Stamford (Lincs),,"118,606","106,792","22,300","247,698","1,124",0,Peterborough,SMD,East Midlands,East Midlands Railway,,,,,,,,,
Altrincham,,"86,220","104,640","56,654","247,514","1,125",8,Knutsford,ALT,North West,Northern Trains,,,,,,,,,
Shirley,,"61,890","109,518","75,712","247,120","1,126",0,Birmingham Moor Street,SRL,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Kenley,,"93,560","114,142","39,084","246,786","1,127",0,London Bridge,KLY,London,Govia Thameslink Railway (Southern),,,,,,,,,
Greenfield,,"106,018","99,342","41,204","246,564","1,128",0,Manchester Piccadilly,GNF,North West,Northern Trains,,,,,,,,,
Barnt Green,,"86,114","69,626","90,756","246,496","1,129","48,878",Birmingham New Street,BTG,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Leominster,,"86,078","105,890","53,362","245,330","1,130",0,Hereford,LEO,West Midlands,TfW Rail,,,,,,,,,
Evesham,,"52,372","168,456","24,314","245,142","1,131",298,London Paddington,EVE,West Midlands,Great Western Railway,,,,,,,,,
Romiley,,"97,764","75,806","71,236","244,806","1,132","7,391",Manchester Piccadilly,RML,North West,Northern Trains,,,,,,,,,
Cromer,,"64,612","167,042","12,640","244,294","1,133",0,Norwich,CMR,East of England,Greater Anglia,,,,,,,,,
Montrose,,"77,932","151,642","14,222","243,796","1,134",0,Aberdeen,MTS,Scotland,ScotRail,,,,,,,,,
Muirend,,"81,490","144,422","17,672","243,584","1,135",0,Glasgow Central,MUI,Scotland,ScotRail,,,,,,,,,
Falmouth Town,,"20,896","202,210","20,406","243,512","1,136",0,Truro,FMT,South West,Great Western Railway,,,,,,,,,
North Walsham,,"74,482","136,196","32,530","243,208","1,137",0,Norwich,NWA,East of England,Greater Anglia,,,,,,,,,
Cogan,,"195,172","10,022","37,444","242,638","1,138",0,Cardiff Central,CGN,Wales,TfW Rail,,,,,,,,,
Mills Hill (Manchester),,"109,148","88,444","44,796","242,388","1,139",0,Manchester Victoria,MIH,North West,Northern Trains,,,,,,,,,
Outwood,,"134,304","69,810","38,158","242,272","1,140",0,Leeds,OUT,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Hillington West,,"82,866","93,432","65,720","242,018","1,141",0,Glasgow Central,HLW,Scotland,ScotRail,,,,,,,,,
Walkden,,"103,464","84,020","54,090","241,574","1,142",0,Manchester Victoria,WKD,North West,Northern Trains,,,,,,,,,
Aberystwyth,,"103,522","136,146","1,898","241,566","1,143",0,Borth,AYW,Wales,TfW Rail,,,,,,,,,
Widney Manor,,"74,438","91,732","75,080","241,250","1,144",0,Birmingham Moor Street,WMR,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Whitehaven,,"59,532","164,302","17,054","240,888","1,145",0,Carlisle,WTH,North West,Northern Trains,,,,,,,,,
Manor Road,,"72,726","127,232","40,762","240,720","1,146",0,Liverpool Central,MNR,North West,Merseyrail,,,,,,,,,
Wavertree Technology Park,,"96,366","82,996","60,930","240,292","1,147",0,Liverpool Lime Street,WAV,North West,Northern Trains,,,,,,,,,
Handforth,,"104,210","73,186","62,830","240,226","1,148",0,Manchester Piccadilly,HTH,North West,Northern Trains,,,,,,,,,
Emerson Park,,"130,204","96,940","12,974","240,118","1,149",0,Upminster,EMP,London,London Overground,,,,,,,,,
Driffield,,"33,142","169,242","37,710","240,094","1,150",0,Hull,DRF,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Fitzwilliam,,"120,212","78,702","40,318","239,232","1,151",833,Leeds,FZW,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Bromley Cross (Lancs),,"90,432","92,266","56,316","239,014","1,152",0,Manchester Victoria,BMC,North West,Northern Trains,,,,,,,,,
Yate,,"99,528","115,454","23,124","238,106","1,153",0,Bristol Temple Meads,YAE,South West,Great Western Railway,,,,,,,,,
Drumchapel,,"74,022","143,776","18,294","236,092","1,154",0,Glasgow Queen Street,DMC,Scotland,ScotRail,,,,,,,,,
Glengarnock,,"69,172","126,524","39,852","235,548","1,155",0,Glasgow Central,GLG,Scotland,ScotRail,,,,,,,,,
Hinckley (Leics),,"91,290","127,240","16,886","235,416","1,156",0,Birmingham New Street,HNK,East Midlands,East Midlands Railway,,,,,,,,,
Ludlow,,"83,670","112,280","39,008","234,958","1,157",822,Hereford,LUD,West Midlands,TfW Rail,,,,,,,,,
Prescot,,"79,388","93,208","62,102","234,698","1,158",0,Liverpool Lime Street,PSC,North West,Northern Trains,,,,,,,,,
Flint,,"133,340","87,138","13,842","234,320","1,159",0,Chester,FLN,Wales,TfW Rail,,,,,,,,,
Wimbledon Chase,,"98,050","88,462","47,136","233,648","1,160",0,Wimbledon,WBO,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Cannock,,"86,312","133,628","13,350","233,290","1,161",0,Birmingham New Street,CAO,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Dawlish Warren,,"27,076","198,138","7,846","233,060","1,162",0,Exeter Central,DWW,South West,Great Western Railway,,,,,,,,,
Whyteleafe,,"93,436","113,838","25,786","233,060","1,162",0,London Bridge,WHY,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Davenport,,"95,208","77,296","60,170","232,674","1,164",0,Manchester Piccadilly,DVN,North West,Northern Trains,,,,,,,,,
Sheringham,,"59,424","162,742","10,056","232,222","1,165",0,Norwich,SHM,East of England,Greater Anglia,,,,,,,,,
Highbridge and Burnham,,"77,408","138,166","16,646","232,220","1,166",0,Weston-Super-Mare,HIG,South West,Great Western Railway,,,,,,,,,
Ifield,,"67,560","96,050","68,550","232,160","1,167",0,Horsham,IFI,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Giffnock,,"72,364","144,150","15,638","232,152","1,168",0,Glasgow Central,GFN,Scotland,ScotRail,,,,,,,,,
Penkridge,,"143,084","63,228","25,066","231,378","1,169",0,Birmingham New Street,PKG,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Thirsk,,"58,848","154,032","18,270","231,150","1,170",0,York,THI,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Sleaford,,"95,648","106,154","29,290","231,092","1,171","31,340",Lincoln,SLR,East Midlands,East Midlands Railway,,,,,,,,,
Carluke,,"86,938","118,336","25,496","230,770","1,172",0,Glasgow Central,CLU,Scotland,ScotRail,,,,,,,,,
Easterhouse,,"86,862","117,752","25,964","230,578","1,173",0,Glasgow Queen Street,EST,Scotland,ScotRail,,,,,,,,,
Sandbach,,"89,588","113,780","27,184","230,552","1,174",0,Manchester Piccadilly,SDB,North West,Northern Trains,,,,,,,,,
Irlam,,"105,432","68,968","55,640","230,040","1,175",0,Manchester Oxford Road,IRL,North West,Northern Trains,,,,,,,,,
Hungerford,,"47,320","140,360","42,142","229,822","1,176",0,London Paddington,HGD,South East,Great Western Railway,,,,,,,,,
Elgin,,"64,650","158,414","5,838","228,902","1,177",0,Inverness,ELG,Scotland,ScotRail,,,,,,,,,
Severn Beach,,"118,996","4,290","105,280","228,566","1,178",0,Bristol Temple Meads,SVB,South West,Great Western Railway,,,,,,,,,
Ore,,"65,276","81,156","82,130","228,562","1,179",0,Bexhill,ORE,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Anderston,,"81,606","95,904","50,996","228,506","1,180",0,Rutherglen,AND,Scotland,ScotRail,,,,,,,,,
Okehampton,,"141,318","61,496","25,458","228,272","1,181",0,Exeter Central,OKE,South West,Dartmoor Railway,,,,,,,,,
Topsham,,"134,060","73,330","20,242","227,632","1,182",0,Exeter Central,TOP,South West,Great Western Railway,,,,,,,,,
Crowborough,,"74,686","80,058","72,394","227,138","1,183",0,London Bridge,COH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Littlehaven,,"93,728","97,950","35,410","227,088","1,184",0,Horsham,LVN,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Carbis Bay,,0,"226,200",568,"226,768","1,185",0,St Ives (Cornwall),CBB,South West,Great Western Railway,,,,,,,,,
Aberdare,,"161,382","10,902","54,430","226,714","1,186",0,Cardiff Central,ABA,Wales,TfW Rail,,,,,,,,,
Alderley Edge,,"105,456","77,540","43,696","226,692","1,187",0,Manchester Piccadilly,ALD,North West,Northern Trains,,,,,,,,,
Robertsbridge,,"37,314","96,404","92,062","225,780","1,188",0,Hastings,RBR,South East,Southeastern,,,,,,,,,
Sutton Common,,"87,508","86,070","51,762","225,340","1,189",0,Wimbledon,SUC,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Pollokshaws West,,"61,310","149,862","14,164","225,336","1,190",0,Glasgow Central,PWW,Scotland,ScotRail,,,,,,,,,
West Sutton,,"93,330","99,148","32,494","224,972","1,191",0,Wimbledon,WSU,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Hadfield,,"84,902","79,652","60,408","224,962","1,192",0,Manchester Piccadilly,HDF,East Midlands,Northern Trains,,,,,,,,,
Drumgelloch,,"74,368","110,978","39,086","224,432","1,193",0,Glasgow Queen Street,DRU,Scotland,ScotRail,,,,,,,,,
Kidsgrove,,"82,128","127,774","14,484","224,386","1,194","16,881",Manchester Piccadilly,KDG,West Midlands,East Midlands Railway,,,,,,,,,
Berkswell,,"55,380","94,394","72,434","222,208","1,195",0,Birmingham New Street,BKW,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Stone Crossing,,"86,336","60,632","75,180","222,148","1,196",0,London Bridge,SCG,South East,Southeastern,,,,,,,,,
Riddlesdown,,"87,170","98,552","34,802","220,524","1,197",0,London Victoria,RDD,London,Govia Thameslink Railway (Southern),,,,,,,,,
Barry Docks,,"163,952","9,572","46,268","219,792","1,198",0,Cardiff Central,BYD,Wales,TfW Rail,,,,,,,,,
Brookmans Park,,"100,850","99,688","19,008","219,546","1,199",0,Moorgate,BPK,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Bramley (Hampshire),,"52,280","129,526","37,714","219,520","1,200",0,Basingstoke,BMY,South East,Great Western Railway,,,,,,,,,
Saltcoats,,"58,906","143,522","16,760","219,188","1,201",0,Glasgow Central,SLT,Scotland,ScotRail,,,,,,,,,
Guide Bridge,,"96,202","68,854","54,128","219,184","1,202","3,382",Manchester Piccadilly,GUI,North West,Northern Trains,,,,,,,,,
Clydebank,,"66,616","109,534","42,700","218,850","1,203",0,Glasgow Central,CYK,Scotland,ScotRail,,,,,,,,,
Felixstowe,,"54,608","149,388","14,546","218,542","1,204",0,Ipswich,FLX,East of England,Greater Anglia,,,,,,,,,
Datchet,,"71,200","117,940","28,674","217,814","1,205",0,London Waterloo,DAT,South East,South Western Railway,,,,,,,,,
Meldreth,,"78,912","91,066","47,180","217,158","1,206",0,Cambridge,MEL,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Hinchley Wood,,"83,818","80,362","52,548","216,728","1,207",0,London Waterloo,HYW,South East,South Western Railway,,,,,,,,,
Eccles (Manchester),,"104,194","77,584","34,060","215,838","1,208",0,Manchester Piccadilly,ECC,North West,Northern Trains,,,,,,,,,
Meopham,,"70,536","83,402","61,594","215,532","1,209",0,London Victoria,MEP,South East,Southeastern,,,,,,,,,
Winchfield,,"61,590","85,470","67,796","214,856","1,210",0,London Waterloo,WNF,South East,South Western Railway,,,,,,,,,
Whitecraigs,,"76,944","127,282","10,606","214,832","1,211",0,Glasgow Central,WCR,Scotland,ScotRail,,,,,,,,,
Baildon,,"71,930","49,764","93,048","214,742","1,212",0,Guiseley,BLD,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Stone (Staffs),,"133,818","64,772","15,450","214,040","1,213",0,Stoke-On-Trent,SNE,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Lymington Town,,"44,230","144,766","24,648","213,644","1,214",0,Brockenhurst,LYT,South East,South Western Railway,,,,,,,,,
Bromborough Rake,,"69,286","95,118","49,080","213,484","1,215",0,Liverpool Central,BMR,North West,Merseyrail,,,,,,,,,
Llantwit Major,,"135,664","40,662","36,796","213,122","1,216",0,Cardiff Central,LWM,Wales,TfW Rail,,,,,,,,,
Meridian Water,,"78,032","96,700","38,152","212,884","1,217",0,Stratford (London),MRW,London,Greater Anglia,,,,,,,,,
Cholsey,,"48,868","117,984","45,546","212,398","1,218",0,London Paddington,CHO,South East,Great Western Railway,,,,,,,,,
Prestwick Town,,"65,868","136,472","9,652","211,992","1,219",0,Glasgow Central,PTW,Scotland,ScotRail,,,,,,,,,
Crosshill,,"51,444","123,138","37,396","211,978","1,220",0,Glasgow Central,COI,Scotland,ScotRail,,,,,,,,,
Stapleton Road,,"140,562","59,492","11,664","211,718","1,221",0,Bristol Temple Meads,SRD,South West,Great Western Railway,,,,,,,,,
Bank Hall,,"37,980","85,818","87,390","211,188","1,222",0,Liverpool Central,BAH,North West,Merseyrail,,,,,,,,,
Pontyclun,,"136,194","47,776","26,692","210,662","1,223",0,Cardiff Central,PYC,Wales,TfW Rail,,,,,,,,,
Cottingham,,"31,070","135,528","43,956","210,554","1,224",0,Hull,CGM,Yorkshire and The Humber,Northern Trains,,,,,,,,,
North Camp,,"61,512","127,458","20,442","209,412","1,225",0,Guildford,NCM,South East,Great Western Railway,,,,,,,,,
Lawrence Hill,,"142,094","44,184","22,744","209,022","1,226",0,Bristol Temple Meads,LWH,South West,Great Western Railway,,,,,,,,,
Wallyford,,"113,218","84,984","10,636","208,838","1,227",0,Edinburgh,WAF,Scotland,ScotRail,,,,,,,,,
East Didsbury,,"61,218","123,412","23,440","208,070","1,228",0,Manchester Piccadilly,EDY,North West,Northern Trains,,,,,,,,,
Narborough,,"94,018","60,852","52,722","207,592","1,229",0,Leicester,NBR,East Midlands,East Midlands Railway,,,,,,,,,
Frome,,"76,452","125,840","4,796","207,088","1,230",394,Bristol Temple Meads,FRO,South West,Great Western Railway,,,,,,,,,
Kingham,,"27,040","166,772","12,458","206,270","1,231",0,London Paddington,KGM,South East,Great Western Railway,,,,,,,,,
Maidstone Barracks,,"56,136","94,948","55,114","206,198","1,232","135,921",London St Pancras International,MDB,South East,Southeastern,,,,,,,,,
Livingston South,,"84,880","107,954","12,808","205,642","1,233",0,Edinburgh,LVG,Scotland,ScotRail,,,,,,,,,
Melton Mowbray,,"69,258","123,814","12,502","205,574","1,234",0,Leicester,MMO,East Midlands,East Midlands Railway,,,,,,,,,
